사업코드,사업명,공고관리번호,사업구분,국내외구분,발주처,PM부서,발주방법,등록구분,진행상태,PM,대표사,공동도급사,수주일자,계약일자,원화공급가액,원화부가세액,원화합계금액,수금율(%),변경준공일(차수),주관사
A20200076,네피도-카우크피유 고속도로 사업,A200211-18,지원,해외,해외건설협회,도로부,기타,본사업,준공,정진황,㈜수성엔지니어링,㈜수성엔지니어링(100),2020-02-11,2020-02-11,0,0,0,0.00,2020-10-31,주관사
A20220001,네팔 Mahendra Highway(H01) Kakarabhitta-Laukahi(120km) 구간 기존 도로 및 구조물 개량 예비타당성조사,A220609-01,지원,해외,한국엔지니어링협회,도로부,설계시공분리발주,본사업,준공,정진황,㈜수성엔지니어링,㈜수성엔지니어링(100),2022-05-25,2022-05-25,"89,952,526",0,"89,952,526",100.00,2022-11-30,비주관사
A20230001,(2핵심)디지털 국토정보 구축 효율화를 위한 다차원다시점 공간데이터 기반 국토정보 변화인식 및 자동갱신 기술개발,A220429-15,설계,국내,국토교통과학기술진흥원,플랫폼사업실,설계시공분리발주,본사업,진행,김민수,㈜수성엔지니어링,㈜수성엔지니어링(100),2022-04-29,2022-04-01,"1,326,000,000",0,"1,326,000,000",0.00,2026-12-31,비주관사
A20230002,(3핵심)초연결 디지털 국토 실현을 위한 융복합 데이터의 통합 활용 및 운영 검증 체계 구축,A220119-10,설계,국내,국토교통과학기술진흥원,플랫폼사업실,기타,본사업,진행,김민수,㈜수성엔지니어링,㈜수성엔지니어링(100),2022-01-14,2022-01-14,"1,650,000,000",0,"1,650,000,000",0.00,2026-12-31,비주관사
C19870001,기린상수도 시설공사 설계용역,,설계,국내,강원도 인제군,수성엔지니어링,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-02-10,1987-02-10,"6,075,000",0,"6,075,000",0.00,1987-03-31,주관사
C19870002,상남상수도 시설공사 설계용역,,설계,국내,강원도 인제군,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-02-10,1987-02-10,"6,075,000",0,"6,075,000",0.00,1987-03-31,주관사
C19870003,공공하수도 기본계획수립 및 대장작성용역,,설계,국내,강원도 인제군,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-03-11,1987-03-11,"13,050,000",0,"13,050,000",0.00,1987-06-08,주관사
C19870004,태흥빌딩 신축공사 조사용역,,설계,국내,㈜시원토건,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-03-24,1987-03-24,"2,000,000",0,"2,000,000",0.00,1987-03-27,주관사
C19870005,한림도시계획 도로교량 및 암거시설공사 실시계획 설계,,설계,국내,제주도 북제주군,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-03-10,1987-03-10,"8,730,000",0,"8,730,000",100.00,1987-03-31,주관사
C19870006,칠서 - 북면간 도로조사 측량 설계용역,,설계,국내,경상남도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-04-13,1987-04-13,"11,000,000",0,"11,000,000",100.00,1987-05-22,주관사
C19870007,마암 - 문산간 도로조사 측량 설계용역,,설계,국내,경상남도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-04-13,1987-04-13,"12,000,000",0,"12,000,000",100.00,1987-05-22,주관사
C19870008,산청 - 거창간 도로조사 측량 설계용역,,설계,국내,경상남도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-04-13,1987-04-13,"15,200,000",0,"15,200,000",100.00,1987-05-22,주관사
C19870009,"진정-갈사, 서포-다평간 도로조사 측량 설계용역",,설계,국내,경상남도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-04-13,1987-04-13,"11,500,000",0,"11,500,000",100.00,1987-05-22,주관사
C19870010,양구-원통간 도로개수 및 포장공사 실시 설계용역,,설계,국내,발주처 미기입,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-04-06,1987-04-06,"88,875,000",0,"88,875,000",100.00,1987-07-14,주관사
C19870011,금산 - 무주간 도로개수 및 포장공사 실시 설계용역,,설계,국내,발주처 미기입,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-05-07,1987-05-07,"35,950,000",0,"35,950,000",100.00,1987-08-04,주관사
C19870012,통영 수산 전문대학 공유수면 매립공사 5차 실시 설계용역,,설계,국내,통영 수산전문대학,도로부,설계시공분리발주,본사업,준공,,,㈜수성엔지니어링(100),1987-05-01,1987-05-01,"4,337,000",0,"4,337,000",100.00,1987-05-30,주관사
C19870013,"광주직할시 금남 지하도 (상가, 주차장 겸용) 시설사업 용역",,설계,국내,금광기업㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-05-12,1987-05-12,"70,000,000",0,"70,000,000",100.00,1987-09-08,주관사
C19870014,탕정 농공단지 조성공사 감리용역,,감리,국내,충청남도 아산시,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-05-19,1987-05-19,"11,500,000",0,"11,500,000",100.00,1987-10-31,주관사
C19870015,1 냉연 PL/TCM 증강 1차공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-04-25,1987-04-25,"5,500,000",0,"5,500,000",100.00,1987-05-20,주관사
C19870016,광양2기 연주 5차공사 토건설계용역,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-02-04,1987-02-04,"15,974,000",0,"15,974,000",100.00,1987-04-15,주관사
C19870017,삼양 3수원 용출량 조사 및 기본계획 용역,,설계,국내,제주특별자치도 제주시,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-01,1987-06-01,"19,200,000",0,"19,200,000",100.00,1987-11-27,주관사
C19870018,원주 - 방림간 도로개수 및 포장공사 용역,,설계,국내,발주처 미기입,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-16,1987-06-16,"31,400,000",0,"31,400,000",100.00,1987-08-14,주관사
C19870019,합천 - 영전교 가설공사 실시설계 용역,,설계,국내,발주처 미기입,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-23,1987-06-23,"19,300,000",0,"19,300,000",100.00,1987-09-22,주관사
C19870020,국도 4호선 도로 대장도 작성용역,,설계,국내,발주처 미기입,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-23,1987-06-23,"20,300,000",0,"20,300,000",100.00,1987-10-22,주관사
C19870021,대구 염색공단 열병합 발전설비 옥외 배관 기초 추가 설계용역,,설계,국내,삼성중공업㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-04-16,1987-04-16,"15,000,000",0,"15,000,000",100.00,1987-06-30,주관사
C19870022,신갈 - 용인간 도로확장 및 포장공사 실시설계 용역,,설계,국내,발주처 미기입,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-25,1987-06-25,"47,800,000",0,"47,800,000",100.00,1987-11-23,주관사
C19870023,STAINLESS A.P.L 2차공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-05-29,1987-05-29,"17,000,000",0,"17,000,000",100.00,1987-06-15,주관사
C19870024,광양2기 배수종말 1차공사 토건설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-04-07,1987-04-07,"9,100,000",0,"9,100,000",100.00,1987-05-30,주관사
C19870025,안동 - 구미간 도로포장 공사 실시설계,,설계,국내,㈜인터세크,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-07-05,1987-07-05,"13,000,000",0,"13,000,000",100.00,1987-09-15,주관사
C19870026,광양냉연 2차공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-04-13,1987-04-13,"9,100,000",0,"9,100,000",100.00,1987-06-15,주관사
C19870027,광양냉연 3차공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-05,1987-06-05,"76,840,000",0,"76,840,000",100.00,1987-07-31,주관사
C19870028,광양냉연 5차공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-05,1987-06-05,"31,700,000",0,"31,700,000",100.00,1987-09-15,주관사
C19870029,STAINLESS A.P.L 3차공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-30,1987-06-30,"24,100,000",0,"24,100,000",100.00,1987-07-21,주관사
C19870030,1 냉연 PL/TCM 증강 2차공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-07-21,1987-07-21,"5,760,000",0,"5,760,000",100.00,1987-08-31,주관사
C19870031,상수도 배수 관망도 작성,,설계,국내,강원특별자치도 태백시,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-09-02,1987-09-02,"1,343,000",0,"1,343,000",100.00,1987-09-12,주관사
C19870032,양양읍 상수도 시설 진단 및 실시설계 용역,,설계,국내,강원도 양양군,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-17,1987-10-17,"4,800,000",0,"4,800,000",100.00,1987-11-07,주관사
C19870033,강외-옥산간 도로확장 및 포장공사 실시 설계용역,,설계,국내,충청북도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-23,1987-10-23,"15,200,000",0,"15,200,000",100.00,1987-11-21,주관사
C19870034,오창-옥산간 도로확장 및 포장공사 실시 설계용역,,설계,국내,충청북도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-23,1987-10-23,"9,300,000",0,"9,300,000",100.00,1987-11-21,주관사
C19870035,87 하반기 농어촌 도로포장 (도고-선장) 공사 실시설계,,설계,국내,충청남도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-28,1987-10-28,"13,770,000",0,"13,770,000",100.00,1987-11-21,주관사
C19870036,상주-선산간 도로확장 및 포장 2차공사 실시설계,,설계,국내,경상북도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-28,1987-10-28,"5,450,000",0,"5,450,000",100.00,1987-11-16,주관사
C19870037,동성교 수해 복구공사 실시설계 용역,,설계,국내,충청남도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-31,1987-10-31,"16,300,000",0,"16,300,000",100.00,1987-12-14,주관사
C19870038,지방도 901호 및 군도 320호선 수해 복구공사 설계용역,,설계,국내,경상북도 김천시,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-27,1987-10-27,"11,600,000",0,"11,600,000",100.00,1987-11-04,주관사
C19870039,중부 내륙간 고속도로 건설 타당성 조사의 기술검토 용역,,설계,국내,국토개발연구원,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-20,1987-10-20,"50,000,000",0,"50,000,000",100.00,1988-10-27,주관사
C19870040,"마암-문산, 서포-다평 용남 해안도로 조사측량 설계용역",,설계,국내,경상남도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-11-12,1987-11-12,"28,100,000",0,"28,100,000",100.00,1987-12-01,주관사
C19870041,삼경빌딩 신축굴토 설계,,설계,국내,요진건설산업(주),구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-11-01,1987-11-01,"1,500,000",0,"1,500,000",100.00,1987-11-14,주관사
C19870042,87하반기 김천 - 감문간 도로확장 포장공사 설계용역,,설계,국내,경상북도 김천시,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-28,1987-10-28,"8,900,000",0,"8,900,000",100.00,1987-11-12,주관사
C19870043,87하반기 김천 - 조마간 도로확장 포장공사 설계용역,,설계,국내,경상북도 김천시,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-10-28,1987-10-28,"8,000,000",0,"8,000,000",100.00,1987-11-12,주관사
C19870044,광양냉연 10차공사 기초설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-05,1987-06-05,"10,300,000",0,"10,300,000",100.00,1987-10-25,주관사
C19870045,동국대학교 의과대학 및 부속병원 건립부지 토목 실시설계,,설계,국내,동국대학교,구조부,수의계약(미사용),본사업,준공,문지혁,,㈜수성엔지니어링(100),1987-11-23,1987-11-23,"18,200,000",0,"18,200,000",100.00,1988-01-30,주관사
C19870046,정선 평창간 도로개수및 포장 9차공사 노선변경 실시설계 (멧둔재구간),,설계,국내,성원건설㈜,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-27,1987-12-27,"65,250,000",0,"65,250,000",100.00,1988-03-10,주관사
C19870047,성남 주차장 정비계획 수립용역,,설계,국내,조달청(경기도 성남시 맑은물관리사업소),도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-04,1987-12-04,"47,500,000",0,"47,500,000",100.00,1988-06-30,주관사
C19870048,영동교 가설공사 실시설계 용역,,설계,국내,발주처 미기입,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-04,1987-12-04,"11,500,000",0,"11,500,000",100.00,1987-12-31,주관사
C19870049,국도 42호선 도로 대장도 작성용역,,설계,국내,남광토건㈜,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-09,1987-12-09,"4,500,000",0,"4,500,000",100.00,1987-12-31,주관사
C19870050,2후판 가속 냉각설비 1차공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-11-25,1987-11-25,"14,400,000",0,"14,400,000",100.00,1987-12-20,주관사
C19870051,괴산대교 가설공사 설계용역,,설계,국내,충청북도 괴산군,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-08,1987-12-08,"10,010,000",0,"10,010,000",100.00,1987-12-17,주관사
C19870052,정림 2지구 현황측량 및 기본계획 수립용역,,설계,국내,대전광역시,도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-27,1987-12-27,"4,700,000",0,"4,700,000",100.00,1988-05-14,주관사
C19870053,IBRD 6차 차관도로 사업 타당성조사,,설계,국내,국토교통부,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-22,1987-12-22,"57,861,600",0,"57,861,600",100.00,1989-09-16,주관사
C19870054,천변우로 (남광교) 철도 횡단도로 확장공사 설계용역,,설계,국내,광주광역시,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-29,1987-12-29,"9,189,000",0,"9,189,000",100.00,1988-01-18,주관사
C19870055,중유 및 월성도로 수해 복구공사 설계용역,,설계,국내,경상남도 거창군,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-08-24,1987-08-24,"6,600,000",0,"6,600,000",100.00,1987-09-23,주관사
C19870056,건계정교 외 4건 수해 복구공사 설계용역,,설계,국내,경상남도 거창군,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-08-24,1987-08-24,"4,400,000",0,"4,400,000",100.00,1987-09-23,주관사
C19870057,SYSTEM 및 프로그램 작성,,설계,국내,한국토지주택공사,도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-21,1987-12-21,"286,145",0,"286,145",100.00,1987-12-31,주관사
C19870058,상수도 급배수 관망도 작성,,설계,국내,강원특별자치도 태백시,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-10,1987-12-10,"1,950,000",0,"1,950,000",100.00,1987-12-23,주관사
C19870059,대전시가지 (둔산지구) 택지개발 사업 기본설계 및 실시설계 용역,,설계,국내,㈜환경그룹,도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-06-17,1987-06-17,"83,076,000",0,"83,076,000",100.00,1988-04-11,주관사
C19870060,STAINLESS A.P.L 4차 공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1987-12-15,1987-12-15,"3,200,000",0,"3,200,000",100.00,1988-01-06,주관사
C19880001,통영 수산 전문대학 공유수면매립(6차)  공사실시설계용역,,설계,국내,통영 수산전문대학,도로부,설계시공분리발주,본사업,준공,,,㈜수성엔지니어링(100),1988-01-23,1988-01-23,"6,100,000",0,"6,100,000",100.00,1988-02-23,주관사
C19880002,충무시 상수도 송.배수 관망도 작성용역,,설계,국내,경상남도 통영시,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-02-15,1988-02-15,"24,050,000",0,"24,050,000",100.00,1988-07-13,주관사
C19880003,정림 2지구 환경영향 종합평가 용역,,설계,국내,대전광역시,도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-02-12,1988-02-12,"9,700,000",0,"9,700,000",100.00,1988-06-10,주관사
C19880004,동부제강㈜ 제2차 합리화 No.2 C.G.L & C.P.L 기계기초 실시설계,,설계,국내,미륭건설㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-02-15,1988-02-15,"26,000,000",0,"26,000,000",100.00,1988-03-31,주관사
C19880005,인구 상수도 시설 설계용역,,설계,국내,강원도 양양군,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-03-07,1988-03-07,"9,830,000",0,"9,830,000",100.00,1988-04-25,주관사
C19880006,"거창읍 시가지 (하동, 동동) 가로정비 공사 설계용역",,설계,국내,경상남도 거창군,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-03-16,1988-03-16,"7,400,000",0,"7,400,000",100.00,1988-05-14,주관사
C19880007,라마다 르네상스 호텔 건립에 따른 교통 영향평가 자문,,설계,국내,한국산업개발연구원,도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-02-13,1988-02-13,"1,650,000",0,"1,650,000",100.00,1988-03-31,주관사
C19880008,고견사 진입도로 개설공사 설계용역,,설계,국내,경상남도 거창군,상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-03-29,1988-03-29,"6,470,000",0,"6,470,000",100.00,1988-04-27,주관사
C19880009,금산수원 확장개발 실시설계 용역,,설계,국내,조달청(제주특별자치도 제주시),상하수도부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-03-30,1988-03-30,"27,500,000",0,"27,500,000",100.00,1988-11-24,주관사
C19880010,천변좌로 확장 및 도시 고가도로 외 2개공사 용역설계,,설계,국내,광주광역시,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-03-26,1988-03-26,"47,800,000",0,"47,800,000",100.00,1988-05-09,주관사
C19880011,154KV 여의도 S/S분기 지중선로 측량및 기본설계용역,,설계,국내,한국전력공사 지중선사업처,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-04-06,1988-04-06,"9,300,000",0,"9,300,000",100.00,1988-05-25,주관사
C19880012,광양학교 종합 운동장 건립공사 토목설계,,설계,국내,㈜세마 종합건축사사무소,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-01-19,1988-01-19,"2,600,000",0,"2,600,000",100.00,1988-01-31,주관사
C19880013,백운산 수련장 2단계 공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-01-29,1988-01-29,"7,000,000",0,"7,000,000",100.00,1988-02-10,주관사
C19880014,양평 - 광주간 도로확장 및 포장공사 실시설계 용역,,설계,국내,경기도,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-04-13,1988-04-13,"28,400,000",0,"28,400,000",100.00,1988-06-11,주관사
C19880015,김천 - 조마간 도로확장 공사 설계용역,,설계,국내,경상북도 김천시,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-05-06,1988-05-06,"10,600,000",0,"10,600,000",100.00,1988-06-04,주관사
C19880016,2후판 가속 냉각설비 2차공사 토목설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-03-10,1988-03-10,"3,350,000",0,"3,350,000",100.00,1988-03-30,주관사
C19880017,정림 2지구 토지구획 정리사업 공사 실시설계 및 토질조사 용역,,설계,국내,대전광역시,도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-05-20,1988-05-20,"75,900,000",0,"75,900,000",100.00,1988-09-16,주관사
C19880018,백운공원 조성 실시설계 용역,,설계,국내,인천광역시,도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-05-24,1988-05-24,"8,300,000",0,"8,300,000",100.00,1988-07-22,주관사
C19880019,원주 - 방림간 도로개수 및 포장공사 용역설계,,설계,국내,발주처 미기입,도로부,일반경쟁(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-05-31,1988-05-31,"277,500,000",0,"277,500,000",100.00,1988-12-26,주관사
C19880020,읍내철도 건널목 개량공사 실시설계 용역,,설계,국내,서울지방국토관리청,도로부,지명경쟁입찰(PQ)(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-05-27,1988-05-27,"19,750,000",0,"19,750,000",100.00,1988-09-24,주관사
C19880021,울산 구치소 신축 토목설계 용역,,설계,국내,법무부,도시계획부,일반경쟁(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-05-25,1988-05-25,"47,000,000",0,"47,000,000",100.00,1988-12-20,주관사
C19880022,국도 18호선 (진도-해남) 도로 대장도 작성용역,,설계,국내,익산지방국토관리청,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-06-03,1988-06-03,"16,950,000",0,"16,950,000",100.00,1988-08-22,주관사
C19880023,대구 구치소 신축 토목설계 용역,,설계,국내,희림 종합건축사사무소,도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-07-01,1988-07-01,"22,000,000",0,"22,000,000",100.00,1988-11-30,주관사
C19880024,국도 4호선 도로 대장도 작성 용역,,설계,국내,발주처 미기입,도로부,일반경쟁(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-07-15,1988-07-15,"51,450,000",0,"51,450,000",100.00,1988-12-31,주관사
C19880025,지하도 설치공사 실시설계 용역,,설계,국내,경상남도 창원시,도로부,일반경쟁(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-07-18,1988-07-18,"23,000,000",0,"23,000,000",100.00,1988-10-15,주관사
C19880026,포항 전문대학 부지조성 공사 실시설계 용역,,설계,국내,포항 전문대학,도로부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-07-08,1988-07-08,"5,000,000",0,"5,000,000",100.00,1988-07-26,주관사
C19880027,정림 2지구 환지계획 수립용역,,설계,국내,대전광역시,도시계획부,일반경쟁(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-08-02,1988-08-02,"90,300,000",0,"90,300,000",100.00,1988-12-31,주관사
C19880028,2열연 신예화 2차공사 기초설계,,설계,국내,제철엔지니어링㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-07-27,1988-07-27,"9,190,000",0,"9,190,000",100.00,1988-08-10,주관사
C19880029,"한국은행 포항지점 행사 기초, 토목설계 도서의 적정성 검토",,설계,국내,한국은행,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-08-27,1988-08-27,"3,300,000",0,"3,300,000",100.00,1988-09-06,주관사
C19880030,포항 도시계획 (포항 전문대학) 시설변경 지적승인 신청,,설계,국내,포항 전문대학,도시계획부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-08-17,1988-08-17,"3,000,000",0,"3,000,000",100.00,1988-08-30,주관사
C19880032,동부제강㈜ 설비 3차 토목공사 설계용역,,설계,국내,미륭건설㈜,구조부,수의계약(미사용),본사업,준공,,,㈜수성엔지니어링(100),1988-09-27,1988-09-27,"35,000,000",0,"35,000,000",100.00,1988-12-30,주관사
