사업코드,사업명,사업구분,국내외구분,발주처,PM부서,발주방법,등록구분,진행상태,공동도급사,계약일자,변경준공일(차수),주관사
R20080006,SMART Highway 진출입 시설 형식 및 설계 연구,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2008-10-15,2008-12-10,주관사
R20080005,미래형 해수담수화 플랜트 기반기술(차세대RO막 분석 및 공정 진단 기술),설계,국내,,기술연구소,기타,본사업,탈락,㈜수성엔지니어링(100),2008-09-19,2008-06-28,주관사
R20080004,광섬유센서를 이용한 깊은기초 안전관리기법 연구,설계,국내,,기술연구소,기타,본사업,탈락,㈜수성엔지니어링(100),2008-08-27,2007-11-30,주관사
R20080003,자전거,설계,국내,,기술연구소,기타,본사업,탈락,㈜수성엔지니어링(100),2008-08-27,2009-07-08,주관사
R20080002,소음저감 및 유지보수성 강화를위한 도로포장공법 개발,설계,국내,,기술연구소,기타,본사업,탈락,㈜수성엔지니어링(100),2008-08-27,2008-12-31,주관사
R20080001,U-Transportation 기반 기술 개발,설계,국내,,기술연구소,기타,본사업,진행,㈜수성엔지니어링(100),2008-08-27,2007-07-31,주관사
R20070001,입체.복합 공간구조 및 공법개발,설계,국내,서울대,기술연구소,기타,본사업,진행,㈜수성엔지니어링(100),2007-12-29,2008-06-28,주관사
C20250009,남양주왕숙 기업이전단지 부지조성공사 감독권한대행 등 건설사업관리용역,감리,국내,경기주택도시공사,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜건화(37), ㈜케이지엔지니어링종합건축사사무소(27), ㈜수성엔지니어링(20), 케이에스엠기술㈜(16)",2025-02-19,2029-12-09,비주관사
C20250008,현산천․와탄천 하천기본계획 및 하천재해예방사업 실시설계 용역,설계,국내,전라남도,수자원부,설계시공분리발주,본사업,진행,"동부엔지니어링㈜(33.16), 하론(26.31), ㈜우영기술단건축사사무소(14.74), ㈜수성엔지니어링(14.74), ㈜장맥엔지니어링(11.05)",2025-02-19,2026-08-12,비주관사
C20250007,서두몰골천 정비사업 실시설계용역,설계,국내,경기도 여주시,수자원부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(59.1), ㈜신성엔지니어링(25.33), ㈜지오메카이엔지(15.57)",2025-02-18,2026-02-18,주관사
C20250006,경부고속선 천안아산~오송 등 12개소 방음벽 개량공사 감독권한대행 등 건설사업관리용역,감리,국내,국가철도공단,철도건설관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(60), ㈜태조엔지니어링(30), ㈜삼보기술단(10)",2025-02-13,2025-12-31,주관사
C20250005,군포시 노후 하수관로 정비사업(3단계) 기본 및 실시설계 용역,설계,국내,경기도 군포시,상하수도부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(66.78), 동부엔지니어링㈜(28.62), ㈜토아엔지니어링(4.6)",2025-02-05,2026-02-04,주관사
C20250004,"영해배수분구(남천) 도시침수 예방사업 기본 및 실시설계, 남정배수구역(양성배수분구) 하수도정비대책 수립용역",설계,국내,경상북도 영덕군 물관리사업소,상하수도부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(49.9), (주) 동진이엔시(47.94), (주) 우수이앤씨(2.16)",2025-02-03,2026-02-05,주관사
C20250003,양재2빗물펌프장 신설 및 배수개선공사 감독 권한대행 등 건설사업관리용역,감리,국내,서울특별시 서초구,건설사업관리부,용역형 건설사업관리,본사업,진행,"주식회사 서현(48), ㈜수성엔지니어링(20), ㈜동해종합기술공사(20), ㈜태성종합기술(12)",2025-01-24,2025-10-12,비주관사
C20250002,중앙고속도로 확장에 따른 초정교 경간조정 재설계 용역,설계,국내,디엘이앤씨 주식회사,도로부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2025-01-21,2025-05-31,주관사
C20250001,농로포장 및 배수로정비사업 실시설계용역,설계,국내,(주)동양엔지니어링(대전),안전진단부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2024-05-31,2024-12-26,주관사
C20240247,인천 로봇랜드 조성사업 기반시설공사 건설사업관리용역,감리,국내,인천도시공사,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(41.62), ㈜서영엔지니어링(27.14), ㈜대한(21.72), KI(9.52)",2024-12-31,2028-02-28,주관사
C20240246,충북선 고속화 제3공구 노반 건설공사(T/K) 기본설계용역 [설계비],설계,국내,㈜에이치제이중공업 건설부문,철도설계부,설계시공일괄발주(T/K),본사업,진행,"동부엔지니어링㈜(78.41), ㈜삼보기술단(10.97), ㈜수성엔지니어링(10.03), (주) 융도엔지니어링(0.59)",2024-12-27,2025-06-30,비주관사
C20240245,광양 국가산업단지 노후산단 재생사업 재생시행계획 및 실시설계 용역,설계,국내,전라남도 광양시,도시계획부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(70), 한국기술개발㈜(30)",2024-12-26,2025-12-21,주관사
C20240244,"둔포원도심연결도로구축사업 기본, 실시설계 및 도시관리계획결정용역",설계,국내,충청남도 아산시,도로부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(70), ㈜우경엔지니어링(30)",2024-12-31,2026-06-29,주관사
C20240243,하남교산 공공주택지구 지장물 해체공사(3-2 및 4공구) 시공단계 부분 감독권한대행 등 건설사업관리용역,감리,국내,한국토지주택공사,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(70), 영우기술사사무소(30)",2025-01-02,2027-01-05,주관사
C20240242,서소문고가 개축(성능개선)공사 감독 권한대행 등 건설사업 관리용역,감리,국내,서울특별시 도시기반시설본부,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(40), ㈜대한콘설탄트(30), ㈜동명기술공단종합건축사사무소(30)",2024-12-26,2025-07-11,주관사
C20240241,동천본류 비점오염 저감사업 건설사업관리용역,감리,국내,부산광역시 부산진구,건설사업관리부,용역형 건설사업관리,본사업,중지,"㈜수성엔지니어링(51.8), 대진이엔지(부산)(28.26), 씨엠엔지니어링(부산)(14.13), ㈜이산기술단(5.81)",2024-12-23,2025-01-28,주관사
C20240240,전주천 국가하천 승격구간 제방안전성 평가 및 정보지도 작성,설계,국내,전북지방환경청,수자원부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(78.49), 주식회사 어스이엔씨(21.51)",2024-12-27,2025-12-21,주관사
C20240239,행정중심복합도시 5-2생활권 조경(공원·녹지 등) 기본 및 실시설계용역,설계,국내,한국토지주택공사,조경레저부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(38.47), (주) 조경설계비욘드(30.02), ㈜동해종합기술공사(25.33), 주식회사 이케이엔지니어링(4.65), 주식회사 디엘종합건축사사무소(1.53)",2024-12-23,2028-09-30,주관사
C20240238,신현동 287-58번지 일원 재개발사업 정비계획 수립 및 정비구역 지정 용역,설계,국내,인천광역시 서구,도시계획부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(70), (주)비타그룹건축사사무소(30)",2024-12-20,2025-12-19,주관사
C20240237,수원국토 시설안전관리과 (2025∼2026) 건설사업관리용역(제1권역),감리,국내,수원국토관리사무소,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜장맥엔지니어링(60), ㈜수성엔지니어링(40)",2024-12-18,2025-07-31,비주관사
C20240236,2024년도 의정부국토 서부권역 도로구조물분야  통합 건설사업관리용역,감리,국내,의정부국토관리사무소,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜장맥엔지니어링(60), ㈜수성엔지니어링(40)",2024-12-14,2025-01-04,비주관사
C20240235,서울남현 공공주택지구 조사설계용역,설계,국내,한국토지주택공사,도시계획부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-12-12,2030-12-12,주관사
C20240234,신현통합배수지 블록분할 변경 실시설계 용역,설계,국내,덕진토건 (주),상하수도부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-11-30,2024-12-31,주관사
C20240233,인천검단지구 택지개발사업 3-1공구 조경공사 통합건설사업관리용역,감리,국내,인천도시공사,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜서영엔지니어링(55), ㈜바우컨설탄트(30), ㈜수성엔지니어링(15)",2024-12-10,2029-03-03,비주관사
C20240232A,고성읍 노후 상수관로 개선사업 기본 및 실시설계 용역_추가A,설계,국내,유솔,상하수도부,기타,지분차액,진행,㈜수성엔지니어링(100),2024-12-30,2025-07-29,주관사
C20240232,고성읍 노후 상수관로 개선사업 기본 및 실시설계 용역,설계,국내,한국수자원공사,상하수도부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(61.53), 유솔(26.37), ㈜토아엔지니어링(12.1)",2024-11-29,2025-07-29,주관사
C20240231,금호워터폴리스 산업단지 진입도로 건설공사 건설사업관리용역,감리,국내,대구광역시 도시건설본부,건설사업관리부,용역형 건설사업관리,본사업,중지,"㈜수성엔지니어링(52), (주)가람엔지니어링건축사사무소(24), (주)아이비씨엠(24)",2024-11-29,2025-06-08,주관사
C20240230,곰소지구 풍수해생활권 종합정비사업 건설사업관리용역,감리,국내,전북특별자치도 부안군,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(50.52), (유)신한엔지니어링-전북(41.34), (주)전일이앤씨(8.14)",2024-11-25,2025-10-20,주관사
C20240229,드론데이터 처리 및 드론스퀘어 사용,설계,국내,㈜태영건설,플랫폼사업실,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-11-18,2025-11-17,주관사
C20240228,국도2호선 가포1교 등 3개소 정밀안전진단 등 기술용역,설계,국내,김해국토관리사무소,안전진단부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-11-27,2025-06-01,주관사
C20240227,금호강 경산지구 하천환경정비사업  실시설계 용역,설계,국내,낙동강유역환경청,수자원부,설계시공분리발주,본사업,진행,"㈜삼안(30.55), 하론(15.59), 주하이엔씨㈜(12.22), ㈜수성엔지니어링(12.22), 한울지오텍(지반)(11.66), 셀파이엔씨 주식회사(11.66), ㈜한맥기술(6.1)",2024-11-26,2025-05-07,비주관사
C20240226,신분당선 구운역(가칭) 신설사업 노반·건축·기계설비·소방·통신 실시설계,설계,국내,국가철도공단,철도설계부,설계시공분리발주,본사업,진행,"㈜동명기술공단종합건축사사무소(30.33), ㈜경호엔지니어링종합건축사사무소(18.2), (주)한기엔지니어링건축사사무소(16.67), ㈜수성엔지니어링(12.13), (주) 범창종합기술(9.39), (주)세영통신(6.75), 한방유비스(5.75), (주)디엠이엔씨(0.78)",2024-11-25,2025-12-31,비주관사
C20240225,합천군 생활폐기물 소각시설 설치사업 건설사업관리용역,감리,국내,경상남도 합천군,건설사업관리부,용역형 건설사업관리,본사업,중지,"㈜한국종합기술(61.74), ㈜수성엔지니어링(26.46), 경남엔지니어링(11.8)",2024-11-25,2027-03-22,비주관사
C20240224,2024년 김해시 침수흔적도 작성 용역,설계,국내,경상남도 김해시,수자원부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-11-21,2025-05-20,주관사
C20240223,부산항 유지준설공사 등 통합 건설사업관리용역,감리,국내,부산항만공사,건설사업관리부,용역형 건설사업관리,본사업,진행,㈜수성엔지니어링(100),2024-11-20,2026-05-25,주관사
C20240222,군포시 도시교통정비 중기계획 수립 및 지속가능 교통물류발전계획 용역,설계,국내,경기도 군포시,교통부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(65), 신명이엔씨(주)(35)",2024-11-20,2025-09-15,주관사
C20240221,행정중심복합도시 4-2생활권 3공구 조경공사 시공단계 감독권한대행 등 건설사업관리용역,감리,국내,한국토지주택공사,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(50), ㈜다산컨설턴트(30), ㈜영화엔지니어링(20)",2024-11-20,2026-09-18,주관사
C20240220,임동면(대곡리) 대곡천 재해복구사업 실시설계용역,설계,국내,경상북도 안동시,수자원부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(64.83), ㈜아라기술(35.17)",2024-11-15,2025-05-13,주관사
C20240219,인천공항 제1여객계류장 및 A유도로 개선사업 설계용역,설계,국내,인천국제공항공사,공항및인프라사업부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(34.98), ㈜도화엔지니어링(31.09), 동부엔지니어링㈜(31.09), 어스(2.84)",2024-11-14,2027-11-14,주관사
C20240218A,의령군 후속 노후 상수관망 정비사업 기본 및 실시설계 용역_추가A,설계,국내,유솔,상하수도부,기타,지분차액,진행,㈜수성엔지니어링(100),2024-12-30,2026-11-13,주관사
C20240218,의령군 후속 노후 상수관망 정비사업 기본 및 실시설계 용역,설계,국내,한국수자원공사,상하수도부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(70), 유솔(30)",2024-11-14,2025-11-13,주관사
C20240217,계양~강화 고속도로 건설공사 (제7공구) 기본설계 용역,설계,국내,롯데건설㈜,구조부,설계시공일괄발주(T/K),본사업,진행,"㈜삼안(65.81), ㈜수성엔지니어링(17.16), ㈜경호엔지니어링종합건축사사무소(8.74), ㈜동해종합기술공사(8.29)",2024-11-13,2025-03-31,비주관사
C20240216,화성~과천 고속화도로 민간투자사업 최초제안 설계용역,설계,국내,효성중공업(주),도로부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-11-12,2026-11-11,주관사
C20240215,지리산 남원 에코촌 조성사업 도시관리계획 결정 및 기본·실시설계용역,설계,국내,전북특별자치도 남원시,도시계획부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(71.41), 주식회사 범산(20.14), 주식회사 성광(8.45)",2024-11-12,2025-09-07,주관사
C20240214,양기~양지 도로확포장공사 기본 및 실시설계용역,설계,국내,경기도 건설본부,도로부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(41.93), ㈜삼안(40.29), ㈜토아엔지니어링(11.46), 주식회사 본현(6.32)",2024-11-08,2026-11-02,주관사
C20240213,"태풍 마이삭, 하이선 재해복구사업 분석 평가 용역",설계,국내,강원특별자치도 삼척시,수자원부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(60), ㈜고려엔지니어링(40)",2024-10-30,2025-07-01,주관사
C20240212A,삼동배수분구 외 1개소 도시침수예방사업 기본 및 실시설계용역_추가A,설계,국내,㈜한주엔지니어링,상하수도부,기타,지분차액,진행,㈜수성엔지니어링(100),2024-12-30,2025-11-04,주관사
C20240212,삼동배수분구 외 1개소 도시침수예방사업 기본 및 실시설계용역,설계,국내,의왕시 경제환경국 상하수과,상하수도부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(44.33), 동부엔지니어링㈜(27.14), ㈜한주엔지니어링(19), ㈜토아엔지니어링(9.52)",2024-11-05,2025-11-04,주관사
C20240211,가덕도신공항 건설사업 재해영향평가 용역,설계,국내,가덕도신공항건설공단,수자원부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(60), (주)에이스디이씨(40)",2024-11-05,2025-11-01,주관사
C20240210,부여군 하수도정비사업(자왕지구 외 2개소) 통합건설사업관리용역,감리,국내,충청남도 부여군 상하수도사업소,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(40), ㈜제일엔지니어링종합건축사사무소(30), ㈜기산엔지니어링(30)",2024-11-04,2028-02-14,주관사
C20240209,추팔 1~2리간 도로개설공사 도시관리계획시설(변경) 관련 동영상 촬영,설계,국내,(주)우대이엔피,플랫폼사업실,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2024-10-25,2024-12-31,주관사
C20240208,낙민 자연재해위험개선지구 정비사업 소규모 재해영향평가용역,설계,국내,경상남도 합천군,수자원부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-10-30,2025-05-04,주관사
C20240207,캄보디아-한국 우정의 교량 실시설계 및 입찰지원 감리,설계,해외,Cambodia MPWT,구조부,설계시공분리발주,본사업,진행,"㈜유신(33.8), ㈜도화엔지니어링(29.4), ㈜수성엔지니어링(28.8), ㈜동성엔지니어링(8)",2024-09-25,2029-08-25,비주관사
C20240206,하수관로 신설(확충)사업 [윗반송 일원] 건설사업관리용역,감리,국내,부산광역시 건설본부,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(45), 거원(30), ㈜다산컨설턴트(25)",2024-10-24,2025-04-07,주관사
C20240205,2024 FF·GG 지구지정 용역,설계,국내,한국토지주택공사,도시계획부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-10-24,2026-07-23,주관사
C20240204,원동지구 지방상수도 매설공사(2공구) 수정설계 용역,설계,국내,경상남도 양산시 상하수도사업소,상하수도부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-10-23,2025-01-22,주관사
C20240203,"교동배수지 증설 및 산외,아북배수지 신설공사 기본 및 실시설계용역",설계,국내,경상남도 밀양시,상하수도부,설계시공분리발주,본사업,진행,"㈜도화엔지니어링(50.76), ㈜한성개발공사(경남)(32.3), ㈜수성엔지니어링(9.23), 동영(경남)(4.95), 흥덕지형정보㈜(2.76)",2024-10-22,2025-04-22,비주관사
C20240202,새만금 지역간 연결도로 건설공사(2공구) 설계시공일괄입찰 입찰설계 및 직접경비 용역_수성,설계,국내,㈜포스코이앤씨,지반부,설계시공일괄발주(T/K),본사업,진행,㈜수성엔지니어링(100),2024-10-21,2025-03-31,주관사
C20240201,포천 자연재해위험개선지구 정비사업 외 1건 통합 건설사업관리 용역,감리,국내,경기도 포천시,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜건화(40), ㈜건영이앤씨(30), ㈜수성엔지니어링(30)",2024-10-17,2027-12-02,비주관사
C20240200,송파 창의혁신 개발사업 단지조성공사 건설사업관리용역(감독권한대행 등),감리,국내,서울주택도시공사,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(60), ㈜대한콘설탄트(40)",2024-10-21,2026-07-22,주관사
C20240199,울진OO 국가산업단지 개발사업 조사설계용역,설계,국내,한국토지주택공사,도시설계부,설계시공분리발주,본사업,진행,"㈜도화엔지니어링(31), ㈜경동엔지니어링(20.5), ㈜수성엔지니어링(19.2), ㈜경호엔지니어링종합건축사사무소(15.3), ㈜동성엔지니어링(14)",2024-10-17,2030-10-17,비주관사
C20240198,금성하수처리시설 확충사업 타당성 조사 및 기본계획 수립용역,설계,국내,경상남도 하동군,상하수도부,설계시공분리발주,본사업,진행,"㈜한올엔지니어링(55), ㈜수성엔지니어링(45)",2024-10-15,2025-04-18,비주관사
C20240197,칠북-북면간 도로 건설공사 아산육교 설계변경 용역,설계,국내,디엘건설㈜,도로부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-09-25,2025-05-31,주관사
C20240196,2026여수세계섬박람회 주행사장 조성 기본 및 실시설계용역,설계,국내,재단법인2026여수세계섬박람회조직위원회,조경레저부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(58.7), 한국기술개발㈜(31.6), ㈜토아엔지니어링(9.7)",2024-10-02,2025-06-06,주관사
C20240195,광암지구 및 녹평1지구 마을하수도 정비사업 건설사업관리용역,감리,국내,충청남도 청양군,건설사업관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(60), ㈜한맥기술(40)",2024-09-30,2025-04-04,주관사
C20240194,국가어항 기반시설 재해대응관리 기술개발 기획연구 용역,설계,국내,한국어촌어항공단,플랫폼사업실,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2024-09-27,2024-12-28,주관사
C20240193,제2경인선 용현학익 1블록(2~7구역) 방음시설 설치공사 실시설계 엔지니어링(3공구),설계,국내,한국도로공사,도로부,설계시공분리발주,본사업,진행,"㈜용마엔지니어링(34), ㈜경동엔지니어링(33), ㈜수성엔지니어링(33)",2024-09-26,2025-12-16,비주관사
C20240192,제2경인선 용현학익 1블록(2~7구역) 방음시설 설치공사 실시설계 엔지니어링(2공구),설계,국내,한국도로공사,도로부,설계시공분리발주,본사업,진행,"극동엔지니어링㈜(34), ㈜경동엔지니어링(33), ㈜수성엔지니어링(33)",2024-09-26,2025-12-16,비주관사
C20240191,황강 거창지구 하천환경정비사업 건설사업관리(시공단계)용역,감리,국내,낙동강유역환경청,건설사업관리부,용역형 건설사업관리,본사업,진행,"극동엔지니어링㈜(40), 케이에스엠기술㈜(25), ㈜수성엔지니어링(25), ㈜청명종합엔지니어링(10)",2024-09-25,2025-03-11,비주관사
C20240190,신안교 일원 우수저류시설 설치사업 기본 및 실시설계용역,설계,국내,광주광역시 북구,수자원부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(55.14), ㈜동아기술공사(36.76), 주빈엔지니어링(6.22), 선우기술개발-전남(1.88)",2024-09-24,2025-06-22,주관사
C20240189,00민자고속도로 개발사업 도로분야 계획 및 설계용역,설계,국내,셀파이엔씨 주식회사,도로부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-08-19,2025-01-03,주관사
C20240188,현대제철 당진공장 적색 오탁수 정화처리설비 1단계 설계 용역,설계,국내,현대엔지니어링㈜,상하수도부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-09-04,2025-05-31,주관사
C20240187,거제시 노인·어린이·장애인 보호구역 실태조사 용역,설계,국내,경상남도 거제시,교통부,설계시공분리발주,본사업,중지,㈜수성엔지니어링(100),2024-09-12,2025-01-17,주관사
C20240186,서촌1교 외 3개소 내진성능평가 용역,설계,국내,경상남도 함안군,안전진단부,설계시공분리발주,본사업,준공,㈜수성엔지니어링(100),2024-09-11,2024-12-17,주관사
C20240185,대산동읍(3단계) 하수관로 정비공사 실시설계용역,설계,국내,경상남도 창원특례시 하수도사업소,상하수도부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-09-10,2025-03-04,주관사
C20240184,공동주택(24년 울산경남권역)교통영향평가용역,설계,국내,한국토지주택공사,교통부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-09-10,2025-09-12,주관사
C20240183,노후불량 하수관로 종합실태조사 및 기본계획 용역(강남권역),설계,국내,서울특별시,상하수도부,설계시공분리발주,본사업,진행,"㈜도화엔지니어링(38), ㈜한국종합기술(28), ㈜수성엔지니어링(24), ㈜경화엔지니어링(10)",2024-09-10,2025-05-11,비주관사
C20240182,경기남부청 사건기록관 신축사업 도시계획시설(변경)결정 용역,설계,국내,경기남부경찰청,도시계획부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-09-09,2025-07-22,주관사
C20240181,쿠웨이트 압둘라 신도시 스마트시티 설계수준 진단 및 개선 방안 수립,설계,해외,한국해외인프라도시개발지원공사,도시계획부,설계시공분리발주,본사업,진행,"㈜한국정보기술단(89), ㈜수성엔지니어링(11)",2024-09-03,2025-04-30,비주관사
C20240180,강릉~제진 단선전철 제5공구 노반신설 기타공사 감독권한대행 등 건설사업관리용역,감리,국내,국가철도공단,철도건설관리부,용역형 건설사업관리,본사업,진행,"㈜수성엔지니어링(50), ㈜다산컨설턴트(15), 동부엔지니어링㈜(15), ㈜동해종합기술공사(10), ㈜태조엔지니어링(10)",2024-08-28,2025-12-24,주관사
C20240179,서울도시철도7호선 청라국제도시연장 추가정거장(005-1) 건설공사 기술제안 입찰용역,설계,국내,동부건설㈜,구조부,설계시공일괄발주(T/K),본사업,진행,"동부엔지니어링㈜(52.2), ㈜건화(28.6), ㈜수성엔지니어링(19.2)",2024-08-27,2024-11-09,비주관사
C20240178B,"월곶~판교 복선전철 건설사업(제2~5, 7, 9~10공구) 사후환경영향조사용역_추가B",설계,국내,유연이앤씨,환경사업부,기타,지분차액,진행,㈜수성엔지니어링(100),2025-01-24,2032-07-31,주관사
C20240178A,"월곶~판교 복선전철 건설사업(제2~5, 7, 9~10공구) 사후환경영향조사용역_추가A",설계,국내,㈜예평이앤씨,환경사업부,기타,지분차액,진행,㈜수성엔지니어링(100),2025-01-24,2032-07-31,주관사
C20240178,"월곶~판교 복선전철 건설사업(제2~5, 7, 9~10공구) 사후환경영향조사용역",설계,국내,국가철도공단,환경사업부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(39.52), 주식회사 세울엔지니어링(20.98), ㈜예평이앤씨(19.75), 유연이앤씨(19.75)",2024-08-20,2024-12-31,주관사
C20240177B,아산 둔포 센트럴파크 도시개발사업 전략 및 환경영향평가 용역_추가B,설계,국내,㈜예평이앤씨,환경사업부,기타,지분차액,진행,㈜수성엔지니어링(100),2025-01-25,2026-04-05,주관사
C20240177A,아산 둔포 센트럴파크 도시개발사업 전략 및 환경영향평가 용역_추가A,설계,국내,㈜삼육건설엔지니어링,환경사업부,기타,지분차액,진행,㈜수성엔지니어링(100),2025-01-24,2026-04-05,주관사
C20240177,아산 둔포 센트럴파크 도시개발사업 전략 및 환경영향평가 용역,설계,국내,충청남도 아산시,환경사업부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(45), ㈜삼육건설엔지니어링(30), ㈜예평이앤씨(25)",2024-08-14,2026-04-05,주관사
C20240176,갈거 자연재해위험개선지구 정비사업 실시설계용역,설계,국내,전북특별자치도 진안군,수자원부,설계시공분리발주,본사업,진행,"㈜수성엔지니어링(47.24), (유)신한엔지니어링-전북(31.5), 도영(11.9), (주)삼일종합건설(9.36)",2024-08-13,2025-08-12,주관사
C20240175,포항 기업혁신파크 통합개발계획 교통영향평가,설계,국내,포항글로벌기업혁신파크특수목적법인 주식회사,교통부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-08-09,2028-12-31,주관사
C20240174,포항 기업혁신파크 통합개발계획 환경영향평가,설계,국내,포항글로벌기업혁신파크특수목적법인 주식회사,환경사업부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-08-09,2028-12-31,주관사
C20240173,포항 기업혁신파크 통합개발계획 및 재해영향평가 수립 용역,설계,국내,포항글로벌기업혁신파크특수목적법인 주식회사,도시계획부,설계시공분리발주,본사업,진행,㈜수성엔지니어링(100),2024-08-09,2028-12-31,주관사
